1824001X,浜野 順,21,0,,
1824002X,福地 雛子,88,0,,
1824003X,朱 成,58,1,中国,0
1824004X,植松 紫苑,46,0,,
1824005X,鶴岡 勝巳,126,0,,
1824006X,寺田 義勝,58,0,,
1824007X,Edgar Lennon,100,1,イギリス,0
1824008X,古田 美琴,65,0,,
1824009X,植村 千夏,97,0,,
1824010X,稲村 勇夫,134,0,,
1824011X,Warren Bloomfield,110,1,アメリカ,0
1824012X,長尾 睦美,137,0,,
1824013X,永島 正太郎,59,0,,
1824014X,古賀 貞,129,0,,
1824015X,西村 建司,113,0,,
1824016X,魏 秀美 ,107,1,中国,0
1824017X,高岡 直義,79,0,,
1824018X,中森 力男,117,0,,
1824019X,柳原 竜,96,0,,
1824020X,中谷 龍五,96,0,,
1824021X,藤野 桃,83,2,神大ホールディングス,
1824022X,露木 治之,21,2,新神戸商事,
1824023X,高松 竜也,30,0,,
1824024X,前川 佳那子,32,0,,
1824025X,熊倉 一朗,72,0,,
1824026X,児島 実優,22,0,,
1824027X,金子 理津子,112,0,,
1824028X,北沢 茜,42,2,新兵庫重工,
1824029X,中野 利夫,108,0,,
1824030X,加瀬 真理子,124,0,,
1824031X,青柳 悠,131,0,,
1824032X,Anne-Marie Lancino,35,1,フランス,0
1824033X,沈 宜珊 ,101,1,中国,0
1824034X,富永 正昭,103,0,,
1824035X,宮坂 歩実,0,0,,
1824036X,井原 和子,104,0,,
1824037X,玉井 吉明,120,0,,
1824038X,志田 葵依,116,0,,
1824039X,Else Kerber,92,1,ドイツ,0
